row,devicename,concept_id,concept_name
1352,CURA VAC-대,45758032,Negative-pressure wound therapy system foam dressing
1353,CURA VAC-소,45758032,Negative-pressure wound therapy system foam dressing
1354,CURA VAC-중,45758032,Negative-pressure wound therapy system foam dressing
1355,CURASYS CANISTER 300CC,45759825,"Suction system canister, reusable"
1356,CURASYS CANISTER TYPE A,45759825,"Suction system canister, reusable"
1357,CURAVAC 10*7.5CM,45758032,Negative-pressure wound therapy system foam dressing
1358,CURAVAC 16*12.5CM,45758032,Negative-pressure wound therapy system foam dressing
1359,CURAVAC 26*15CM,45758032,Negative-pressure wound therapy system foam dressing
1360,CURL CATHETER 62CM,4236069,Peritoneal dialysis catheter
1361,CURVED  GUIDE WIRE   TSCF035-145-3-BH-J,4159813,Guide wire
1362,Custom Tubing Pack(Adult),45768429,Tubing
1363,CUTTING PTCA BALLOON CAT,45761737,Cutting/scoring coronary angioplasty balloon catheter
1364,CUTTING PTCA BALLOON CATHETER,45761737,Cutting/scoring coronary angioplasty balloon catheter
1365,CVP CATHETER 3lumen,4179206,Central venous catheter
1366,CVP CATHETER DOUBLE,4179206,Central venous catheter
1367,CVP CATHETER DUO 4F(B.BROWN),4179206,Central venous catheter
1368,CVP CATHETER DUO 5F(B.BROWN),4179206,Central venous catheter
1369,CVP CATHETER DUO 7F(B.BROWN),4179206,Central venous catheter
1370,CVP CATHETER SPECTRUM DOUBLE,4179206,Central venous catheter
1371,CVP CATHETER SPECTRUM TRIPLE,4179206,Central venous catheter
1372,CVP PRESEP OXIMETRY CATH,4179206,Central venous catheter
1373,CYPHER SELECT SIROLIMUS ELUTING CORONARY STENT,45772824,Drug-eluting coronary artery stent
1374,CYPHER SELECT STENT(CORDIS),45772824,Drug-eluting coronary artery stent
1375,CYPHER STENT,45772824,Drug-eluting coronary artery stent
1376,Cypher Stent all size,45772824,Drug-eluting coronary artery stent
1377,CYSTOSOPE용 GUIDE WIRE   ,4159813,Guide wire
1378,D.K LINE,45760079,"Retinal tamponade medium, postoperative"
1379,D/S 대변백(BAG) 40MM,4225137,Colostomy bag
1380,DAFILON 3/0 DS24 ,45758903,"Nylon suture, monofilament"
1381,DAFILON 4/0 DS19,45758903,"Nylon suture, monofilament"
1382,DAFILON 4/0 DSMP 13(BLUE),45758903,"Nylon suture, monofilament"
1383,DAFILON 4/0 DSMP 16(BLUE),45758903,"Nylon suture, monofilament"
1384,DAFILON 5/0 DS12,45758903,"Nylon suture, monofilament"
1385,DAFILON 5/0 DS16,45758903,"Nylon suture, monofilament"
1386,DAFILON 5/0 DSMP 11(BLUE),45758903,"Nylon suture, monofilament"
1387,DAFILON 5/0 DSMP 13(BLUE),45758903,"Nylon suture, monofilament"
1388,DAFILON 6/0 DS12,45758903,"Nylon suture, monofilament"
1389,DAFILON 6/0 DS9,45758903,"Nylon suture, monofilament"
1390,DAFILON 6/0 DSMP 11(BLUE),45758903,"Nylon suture, monofilament"
1391,DAFILON 6/0 DSMP 13(BLUE),45758903,"Nylon suture, monofilament"
1392,DALL-MILES CABLE GRIP   LARGE ,45771162,"Internal orthopedic fixation system, cerclage wire/cable"
1393,DALL-MILES CABLE GRIP   SMALL ,45771162,"Internal orthopedic fixation system, cerclage wire/cable"
1394,DALL-MILES CABLE GRIP  MEDIUM  ,45771162,"Internal orthopedic fixation system, cerclage wire/cable"
1395,DAWSON-MUELLER MULTIPURPOSE DRAINAGE CATH,2615756,"Catheter, drainage"
1396,DBS GENERATOR 7426,44786598,"Implantable neurostimulator, pulse generator, any type"
1397,D-CATH (All),45771910,"Angiographic catheter, single-use"
1398,DECOMPRESSIVE NEUROPLASTY CATHETER,4225320,Methylphenidate 55mg transdermal patch
1399,DEFIBRILLATION ELECTRODE(EDGE SYSTEM),45770938,Defibrillator electrode
1400,DEFIBRILLATION ELECTRODE(EDGE SYSTEM) 성인용,45770938,Defibrillator electrode
1401,DEFIBRILLATION ELECTRODE(EDGE SYSTEM) 소아용,45770938,Defibrillator electrode
1402,DEMINERALISIERTE HUMAN-KNOCHENMATRIX,4129084,Bone graft material
1403,Dermabond,4117603,Wound glue
1404,DERMABOND ADVANCED ANX12 0.7ML/EA,4117603,Wound glue
1405,DERMABOND PROPEN APP6,4117603,Wound glue
1406,DERMALON 2/0 1727-51,45758903,"Nylon suture, monofilament"
1407,DERMALON 3/0 1744-41,45758903,"Nylon suture, monofilament"
1408,DERMATIX ULTRA GEL 15g,4212912,Silicone gel dressing
1409,DERMATIX ULTRA GEL 7g,4212912,Silicone gel dressing
1410,DESILETS HOFFMAN VEIN INTRODUCER 7.0F-13CM,45761573,Catheter introducer
1411,DEVICES FOR ESD,45762343,"Endotherapy electrosurgical coagulator/cutter, unipolar, reusable"
1412,DEXON 1   9833-71,4106165,Dexon suture
1413,DEXON 1 9827-71,4106165,Dexon suture
1414,DEXON 1-0   9833-61,4106165,Dexon suture
1415,DEXON 2/0 9819-51,4106165,Dexon suture
1416,DEXON 2/0 9825-51,4106165,Dexon suture
1417,DEXON 2-0   9819-51,4106165,Dexon suture
1418,DEXON 3/0 9813-41,4106165,Dexon suture
1419,DEXON 3/0 9819-41,4106165,Dexon suture
1420,DEXON 3-0   9819-41,4106165,Dexon suture
1421,DEXON 4/0 9811-31,4106165,Dexon suture
1422,DEXON 4/0 9813-31,4106165,Dexon suture
1423,DEXON 4-0   9811-31,4106165,Dexon suture
1424,DEXON 6/0 9105-11,4106165,Dexon suture
1425,DHS PLATE SET(TITANIUM),4098108,Bone plate
1426,"DHS Plate Set,Titanium",4098108,Bone plate
1427,DHS PLATE SYSTEM,4120708,DCP plate
1428,Diagnostic Catheter all size,45771910,"Angiographic catheter, single-use"
1429,DIAGNOSTIC ELECTRODE CATHETER ALL SIZE,45761958,"Electrophysiology cardiac catheter, single-use"
1430,DIAGNOSTIC GUIDE WIRE 200CM 미만,4159813,Guide wire
1431,DIAGNOSTIC GUIDE WIRE 200CM 이상,4159813,Guide wire
1432,DIAPASON SCREW SET(잠금장치 포함:스파인메드),45761303,Bone-screw internal spinal fixation system
1433,DILATOR RENAL,4264300,Dilator
1434,DISPO.NEBLIZER KIT,4219814,Nebulizer
1435,"DISPOSABLE BIOPSY FORCEPS - GASTRO/2.3MM, 230CM",45768037,Endotherapy biopsy forceps
1436,"DISPOSABLE BIOPSY FORCEPS - GASTRO/2.4MM, 230CM",45768037,Endotherapy biopsy forceps
1437,"DISPOSABLE BIOPSY FORCEPS-GASTRO/1.8MM, 160CM",45768037,Endotherapy biopsy forceps
1438,"DISPOSABLE BIOPSY FORCEPS-GASTRO/2.3MM, 160CM",45768037,Endotherapy biopsy forceps
1439,"DISPOSABLE BIOPSY FORCEPS-GASTRO/2.4MM, 160CM",45768037,Endotherapy biopsy forceps
1440,DISPOSABLE INFUSION PUMP(AUTOMED 3200) 150ML,45758185,Patient-controlled analgesia infusion pump
1441,DISPOSABLE INFUSION PUMP(AUTOMED 3200) 250ML,45758185,Patient-controlled analgesia infusion pump
1442,DISPOSABLE INFUSION PUMP(AUTOMED)3200(100ML),45758185,Patient-controlled analgesia infusion pump
1443,DISPOSABLE NEBULIZER MOUTHPIECE SUPPLYTUBE,4219814,Nebulizer
1444,DISPOSABLE OXIMAX SENSOR MAX-N,45759471,Oxygen sensor
1445,DISPOSABLE PNEUMATIC VITRECTOME(1267NMD 0.5),45765007,Vitrectomy system micro-cutting unit
1446,DISPOSABLE PNEUMATIC VITRECTOME-20G(1267TTCD),45765007,Vitrectomy system micro-cutting unit
1447,"DISPOSABLE SKIN STAPLER(ADVAN 35W, 독일)",45760270,Skin staple
1448,DISPOSABLE SKIN STAPLER(APPOSE) 8035-12,45759886,Skin stapler
1449,DISPOSABLE SKIN STAPLER(APPOSE) 8037-12,45759886,Skin stapler
1450,DISPOSABLE SKIN STAPLER(IMAGYN),45759886,Skin stapler
1451,DISPOSABLE SKIN STAPLER(MANIPLER AZ 35W),45759886,Skin stapler
1452,DISPOSABLE SKIN STAPLER(SIGNET) 35W O54006,45759886,Skin stapler
1453,DISPOSABLE SKIN STAPLER(VISISTAT)   35W,45759886,Skin stapler
1454,DISPOSABLE SKIN STAPLER(VISTA LITE) 35W,45759886,Skin stapler
1455,DISSOLVABLE HERRICK LACRIMAL PLUG,45763309,Lacrimal punctum plug
1456,DLP FEMORAL ARTERIAL CANNULAE,45761485,"Cardiopulmonary bypass cannula, femoral"
1457,DLP L/A Vent Cath,45768101,Cardiovascular cannula
1458,DOCTUS AIR CUFF FULL ARM,40481859,Intermittent pneumatic compression stockings
1459,DOGO COMPRESSION STOCKING KNEE(211) L 20-30MMHG,4082555,Antithromboembolic stockings
1460,DOGO COMPRESSION STOCKING KNEE(211) M 20-30MMHG,4082555,Antithromboembolic stockings
1461,DOGO COMPRESSION STOCKING KNEE(211) S 20-30MMHG,4082555,Antithromboembolic stockings
1462,DOGO COMPRESSION STOCKING THIGH(264) L 20-30MMHG,4082895,Support stockings - garment
1463,DOGO COMPRESSION STOCKING THIGH(264) M 20-30MMHG,4082895,Support stockings - garment
1464,DOGO COMPRESSION STOCKING THIGH(264) S 20-30MMHG,4082895,Support stockings - garment
1465,DOKTUS COMPRESSION STOCKINGS (FULL THIGH LENGTH KK,4082555,Antithromboembolic stockings
1466,DOPPLER FLOWIRE CARDIOMETRICS 014,4155959,Intracoronary Doppler guide wire
1467,DORC PNEUMATIC VITRECTOME 1267NMD05,45765007,Vitrectomy system micro-cutting unit
1468,DORC PNEUMATIC VITRECTOME 1267TTCD,45765007,Vitrectomy system micro-cutting unit
1469,DOUBLE ARM MENISCAL REPAIR,4194751,Suture needle
1470,DOUBLE ARM SUTURE #8535,4194751,Suture needle
1471,Double Pigtail Stent,4120252,Ureteric stent
1472,DRAINAGE CATHETER,2615756,"Catheter, drainage"
1473,Drainage catheter(실),2615756,"Catheter, drainage"
1474,DRAINAGE CATHETER(LOCKING PIGTAIL),2615756,"Catheter, drainage"
1475,DRAINAGE CIRCUIT & BAG 402-A(일체형),45761717,"Cerebrospinal fluid drainage kit, ventricular"
1476,DRESSING BANDAGE(슈퍼포아) 5*7,4229930,Wound management dressing
1477,DRESSING BANDAGE(슈퍼포아) 6*9,4229930,Wound management dressing
1478,DRESSING BANDAGE(슈퍼포아) 9*12,4229930,Wound management dressing
1479,DRESSING BANDAGE(슈퍼포아) 9*20,4229930,Wound management dressing
1480,DRESSING BANDAGE(슈퍼포아) 9*25,4229930,Wound management dressing
1481,DRESSING BANDAGE(슈퍼포아) 9*30,4229930,Wound management dressing
1482,DRESSING BANDAGE(슈퍼포아) 9*35,4229930,Wound management dressing
1483,DRESSING BANDAGE(슈퍼포아) 9*9,4229930,Wound management dressing
1484,DRG 복강경 수술 중 개복시 보상,45767955,Laparoscopic surgical procedure kit
1485,DRUM TO STAPES PROP PLS 140059,4106991,Partial ossicular replacement prosthesis
1486,DRUM TO STAPES PROP(OFF-CENTERED) 140051,4106991,Partial ossicular replacement prosthesis
1487,DRUM-TO STAPES PORP,4106991,Partial ossicular replacement prosthesis
1488,DRY-DOC CANNULA 5*85MM C7450,45764775,Arthroscopic access cannula kit
1489,DRY-DOC CANNULA 7*85MM C7465,45764775,Arthroscopic access cannula kit
1490,DRY-DOC CANNULA 8*85MM C7480,45764775,Arthroscopic access cannula kit
1491,"DRY-DOC,HEX FLEX CANNULA",45764775,Arthroscopic access cannula kit
1492,DRYVIEW B LASER FILM 14'*17',45768233,X-ray film
1493,DST EEA 21-3.5,45771219,Intraluminal circular stapler
1494,DST EEA 21-4.8,45771219,Intraluminal circular stapler
1495,DST EEA 25-3.5,45771219,Intraluminal circular stapler
1496,DST EEA 25-4.8,45771219,Intraluminal circular stapler
1497,DST EEA 25MM,45771219,Intraluminal circular stapler
1498,DST EEA 28-3.5,45771219,Intraluminal circular stapler
1499,DST EEA 28-4.8,45771219,Intraluminal circular stapler
1500,DST EEA 28MM,45771219,Intraluminal circular stapler
1501,DST EEA 31-4.8,45771219,Intraluminal circular stapler
1502,DST EEA XL 25-4.8,45771219,Intraluminal circular stapler
1503,DST EEA XL 28-3.5,45771219,Intraluminal circular stapler
1504,DST EEA XL 28-4.8,45771219,Intraluminal circular stapler
1505,DST EEA XL 31-4.8,45771219,Intraluminal circular stapler
1506,DUAL HEATED CIRCUIT ADULT RT200,45767464,"Respiratory gas heating wire, infant"
1507,Dual Knife,4010668,Surgical knife
1508,DUAL TOP SCREW 1.6*6MM,45760990,Temporary maxillomandibular fixation set
1509,DUAL TOP SCREW 1.6*8MM,45760990,Temporary maxillomandibular fixation set
1510,DUCT OCCLUD PDA COIL,4232673,Patent ductus closure prosthesis
1511,DUET SUTURE ANCHOR WITH HI-FI,45758221,Ligament anchor
1512,DUK-IN S-SPLINT (PRE CUT TYPE) 3*12,4129941,Cast splint
1513,DUK-IN S-SPLINT (PRE CUT TYPE) 3*35,4129941,Cast splint
1514,DUK-IN S-SPLINT (PRE CUT TYPE) 4*15,4129941,Cast splint
1515,DUK-IN S-SPLINT (PRE CUT TYPE) 4*30,4129941,Cast splint
1516,DUK-IN S-SPLINT (PRE CUT TYPE) 5*30,4129941,Cast splint
1517,DUK-IN S-SPLINT (PRE CUT TYPE) 5*45,4129941,Cast splint
1518,DUODERM CGF 4X4,4222039,Hydrocolloid dressing
1519,DUODERM CGF 6X6,4222039,Hydrocolloid dressing
1520,DUODERM CGF 8X8,4222039,Hydrocolloid dressing
1521,Duoderm CGF Dressing 15*15cm,4222039,Hydrocolloid dressing
1522,Duoderm CGF Dressing 20*20,4222039,Hydrocolloid dressing
1523,DUODERM CGF DRESSING(10x10cm),4222039,Hydrocolloid dressing
1524,DUODERM EXTRA THIN CGF DRESSING,4222039,Hydrocolloid dressing
1525,DUODERM EXTRATHIN 15X15,4222039,Hydrocolloid dressing
1526,DUODERM EXTRATHIN 2X4,4222039,Hydrocolloid dressing
1527,DUODERM EXTRATHIN 2X8,4222039,Hydrocolloid dressing
1528,DUODERM EXTRATHIN 4X4,4222039,Hydrocolloid dressing
1529,DUODERM GEL 15G,2615137,"Hydrocolloid dressing, wound filler, paste, sterile, per ounce"
1530,DUODERM GEL 30G,2615137,"Hydrocolloid dressing, wound filler, paste, sterile, per ounce"
1531,DUODERM HYDROACTIVE GEL,2615137,"Hydrocolloid dressing, wound filler, paste, sterile, per ounce"
1532,DUODERM PASTE 30G,2615137,"Hydrocolloid dressing, wound filler, paste, sterile, per ounce"
1533,DURA STAR PTCA DILATATION CATH,45768093,Coronary angioplasty balloon catheter
1534,DURAFORM 2.5CM*7.5CM,4104097,Dural substitute
1535,DURAFORM 7.5CM*7.5CM,4104097,Dural substitute
1536,DURAFORM DURAL GRAFT IMPLANT-2.5 * 7.5,4104097,Dural substitute
1537,DURAFORM DURAL GRAFT IMPLANT-7.5 * 7.5,4104097,Dural substitute
1538,DURASEAL DURAL SEALANT SYSTEM 5CC,45762291,Dura mater sealant
1539,DURASEAL-5ML,45762291,Dura mater sealant
1540,DVT-3000 SLEEVE 발형,40481859,Intermittent pneumatic compression stockings
1541,DVT-3000 SLEEVE 부츠형,40481859,Intermittent pneumatic compression stockings
1542,DVT-3000 SLEEVE 종아리형 L,40481859,Intermittent pneumatic compression stockings
1543,DVT-3000 SLEEVE 종아리형 M,40481859,Intermittent pneumatic compression stockings
1544,DVT-3000 SLEEVE 종아리형 S,40481859,Intermittent pneumatic compression stockings
1545,DVT-3000 SLEEVE 허벅지형 L,40481859,Intermittent pneumatic compression stockings
1546,DVT-3000 SLEEVE 허벅지형 M,40481859,Intermittent pneumatic compression stockings
1547,DVT-3000 SLEEVE 허벅지형 S,40481859,Intermittent pneumatic compression stockings
1548,DXR DRUG ELUTING CORONARY STENT SYSTEM,45772824,Drug-eluting coronary artery stent
1549,DYCAL,4080147,Calcium hydroxide cement - setting
1550,DYNA CANCELLOUS SCREW,4231019,External fixator pin
1551,DYNA LOCKING CANNULATED SCREW,4105219,Locking screw
1552,DYNA SCREW PIN(선경),4231019,External fixator pin
1553,DYNA-EXTOR HUMERUS,45764599,"External orthopedic fixation system, single-use, sterile"
1554,Dyna-Extor II ANKLE CLAMP(선경),45764599,"External orthopedic fixation system, single-use, sterile"
1555,DYNA-EXTOR II BAT-TO-BAR CONNECTOR(선경),45764599,"External orthopedic fixation system, single-use, sterile"
1556,Dyna-Extor II Lengthening-Bar(M)(선경),45764599,"External orthopedic fixation system, single-use, sterile"
1557,Dyna-Extor II(M)(선경),45764599,"External orthopedic fixation system, single-use, sterile"
1558,DYNA-EXTOR STD,45764599,"External orthopedic fixation system, single-use, sterile"
1559,DYNA-EXTOR T-TYPE,45764599,"External orthopedic fixation system, single-use, sterile"
1560,Dyna-Extor-M Standard,45764599,"External orthopedic fixation system, single-use, sterile"
1561,DYNAFIX EBI WRIST(메디플러스),45764599,"External orthopedic fixation system, single-use, sterile"
1562,DYNAFIX SCREW(메디플러스),4040907,External fixation device
1563,E.C.C NEONATAL SILICONE CATHETER(EPICUTANEO-CAVE C,4161814,Peripherally inserted central catheter
1564,E.V.D BAG,45761717,"Cerebrospinal fluid drainage kit, ventricular"
1565,E.V.D Bag 770N,45761717,"Cerebrospinal fluid drainage kit, ventricular"
1566,E.V.D CATHETER 10.5FR(세운),4234117,Ventricular intracranial catheter
1567,E.V.D CATHETER 10.5FR.,4234117,Ventricular intracranial catheter
1568,E.V.D CATHETER 12FR(세운),4234117,Ventricular intracranial catheter
1569,E.V.D CATHETER 12FR.,4234117,Ventricular intracranial catheter
1570,E.V.D CATHETER 13.5FR,4234117,Ventricular intracranial catheter
1571,E.V.D CATHETER 15.0FR,4234117,Ventricular intracranial catheter
1572,E.V.D Catheter 3L-8L(율지),4234117,Ventricular intracranial catheter
1573,E.V.D Catheter 5L(율지),4234117,Ventricular intracranial catheter
1574,E.V.D CATHETER 7.5FR,4234117,Ventricular intracranial catheter
1575,E.V.D CATHETER 7.5FR(세운),4234117,Ventricular intracranial catheter
1576,E.V.D CATHETER 9FR,4234117,Ventricular intracranial catheter
1577,E.V.D CATHETER 9FR(세운),4234117,Ventricular intracranial catheter
1578,E.V.D CATHETER(ICH용) 10.5FR.,4234117,Ventricular intracranial catheter
1579,E.V.D CATHETER(ICH용) 12.0FR.,4234117,Ventricular intracranial catheter
1580,E.V.D CATHETER(ICH용) 13.5FR,4234117,Ventricular intracranial catheter
1581,E.V.D CIRCUIT & BAG(세운),45761717,"Cerebrospinal fluid drainage kit, ventricular"
1582,E.V.D Package 775N,45761717,"Cerebrospinal fluid drainage kit, ventricular"
1583,EAGLE EYE IVUS CATHETER 85900,4155005,Intravascular ultrasound device
1584,EAGLE EYE IVUS IMAGING CATHETER,4155005,Intravascular ultrasound device
1585,EASYDERM PLUS 10CM X 10CM(100㎠),4224205,Polyurethane foam sterile film dressing
1586,EASYDERM PLUS THIN 10CM X 10CM(100㎠),4222039,Hydrocolloid dressing
1587,EASYVAC EPP400L-4.8,4248965,Wound drainage bag
1588,EASYVAC EPP400M-3.2,4248965,Wound drainage bag
1589,EBO GRIP 3DAN BACK BRACE - L,4087970,Ostomy belt
1590,EBO GRIP 3DAN BACK BRACE - M,4087970,Ostomy belt
1591,EBO GRIP 3DAN BACK BRACE - S,4087970,Ostomy belt
1592,EBO GRIP-OSTOMY BRACE (L),4087970,Ostomy belt
1593,EBO GRIP-OSTOMY BRACE (M),4087970,Ostomy belt
1594,EBO GRIP-OSTOMY BRACE (S),4087970,Ostomy belt
1595,ECG ELECTRODE(adult),4039956,Electrode
1596,ECG ELECTRODE(ped),4039956,Electrode
1597,ECHELON 45 GRAY RELOAD CARTRIDGE ECR45D,45765044,"Endoscopic manual linear cutting stapler, single-use"
1598,ECHELON 45 GRAY RELOAD CARTRIDGE ECR45W,45765044,"Endoscopic manual linear cutting stapler, single-use"
1599,ECHELON 60 BLUE RELOAD CARTRIDGE ECR60B,45765044,"Endoscopic manual linear cutting stapler, single-use"
1600,ECHELON 60 ENDOPATH STAPLER EC60,45765044,"Endoscopic manual linear cutting stapler, single-use"
1601,ECHELON 60 ENDOPATH STAPLER SC60,45765044,"Endoscopic manual linear cutting stapler, single-use"
1602,ECHELON 60 ENDOSCOPIC RELOADABLE CARTRIDGE,45765044,"Endoscopic manual linear cutting stapler, single-use"
1603,ECHELON 60 ENDOSCOPIC STAPLER,45765044,"Endoscopic manual linear cutting stapler, single-use"
1604,ECHELON 60 GOLD RELOAD CARTRIDGE ECR60D,45765044,"Endoscopic manual linear cutting stapler, single-use"
1605,ECHELON 60 GREEN RELOAD CARTRIDGE ECR60G,45765044,"Endoscopic manual linear cutting stapler, single-use"
1606,ECHELON 60 WHITE RELOAD CARTRIDGE ECR60W,45765044,"Endoscopic manual linear cutting stapler, single-use"
1607,ECHELON FLEX 45 ENDO CARTRIDGE BLUE ECR45B,45765044,"Endoscopic manual linear cutting stapler, single-use"
1608,ECHELON FLEX 45 ENDOPATH CUTTER EC45A,45765044,"Endoscopic manual linear cutting stapler, single-use"
1609,ECHELON FLEX 60 ENDOPATH LINEAR CUTTER EC60A,45765044,"Endoscopic manual linear cutting stapler, single-use"
1610,EGIA ROTI.30 CUR.VASCULAR MED SULU 30CTAVM,45765044,"Endoscopic manual linear cutting stapler, single-use"
1611,EGIA ROTI.45 CUR.MED VASCULAR SULU 45CTAVM,45765044,"Endoscopic manual linear cutting stapler, single-use"
1612,EGIA ROTI.45 MED THICK SULU,45765044,"Endoscopic manual linear cutting stapler, single-use"
1613,EGIA ROTI.45 VASCULAR MED SULU,45765044,"Endoscopic manual linear cutting stapler, single-use"
1614,EGIA ROTI.60 CUR.MED THICK SULU 60CTAMT,45765044,"Endoscopic manual linear cutting stapler, single-use"
1615,EGIA ROTI.60 CUR.VASCULAR MED SULU 60CTAVM,45765044,"Endoscopic manual linear cutting stapler, single-use"
1616,EGIA ROTI.60 EXTRA-THICK SULU 60AXT,45765044,"Endoscopic manual linear cutting stapler, single-use"
1617,EGIA ROTI.60 LARGE THICK SULU,45765044,"Endoscopic manual linear cutting stapler, single-use"
1618,EGIA ROTI.60 VASCULAR LARGE SULU,45765044,"Endoscopic manual linear cutting stapler, single-use"
1619,EHL PROBE A9408,4148812,Electrohydraulic lithotripter probe
1620,EKG PAPER(A4),45768113,Electrocardiograph
1621,ELA BAND 2',4313938,Elastic bandage
1622,ELA BAND 3',4313938,Elastic bandage
1623,ELA BAND 4',4313938,Elastic bandage
1624,ELA BAND 6',4313938,Elastic bandage
1625,ELASCON(ELATEX) 3.8CM*5M(25CM 단위로 수가산정),4224022,Elastic adhesive bandage
1626,ELASTIC BANDAGE   2,4313938,Elastic bandage
1627,ELASTIC BANDAGE   3,4313938,Elastic bandage
1628,ELASTIC BANDAGE   4,4313938,Elastic bandage
1629,ELASTIC BANDAGE   6,4313938,Elastic bandage
1630,"ELASTIC BANDAGE (2"")",4313938,Elastic bandage
1631,"ELASTIC BANDAGE (3"")",4313938,Elastic bandage
1632,"ELASTIC BANDAGE (4"")",4313938,Elastic bandage
1633,"ELASTIC BANDAGE (6"")",4313938,Elastic bandage
1634,ELECTRODE CATH BIPOLAR 6F(diag,45764319,Temporary cardiac pacing catheter
1635,ELECTRODE E.C.G   PAPER,4039956,Electrode
1636,ELECTRODE E.C.G R-00-S   ADULT,4039956,Electrode
1637,ELECTRODE E.C.G SE-00-S   INFANT,4039956,Electrode
1638,ELECTRODE-MYOLYSIS용,45764130,Radio-frequency ablation system
1639,Embolectomy Cath 2Fr(FOGARTY),45770943,Embolectomy/thrombectomy catheter
1640,Embolectomy Cath 3Fr(FOGARTY),45770943,Embolectomy/thrombectomy catheter
1641,Embolectomy Cath 4Fr(FOGARTY),45770943,Embolectomy/thrombectomy catheter
1642,Embolectomy Cath 5Fr(FOGARTY),45770943,Embolectomy/thrombectomy catheter
1643,EMBOLECTOMY CATHETER-2FR,45770943,Embolectomy/thrombectomy catheter
1644,EMBOLETOMY CATH 6FR(FOGARTY),45770943,Embolectomy/thrombectomy catheter
1645,EMBOLETOMY CATH 7FR(FOGARTY),45770943,Embolectomy/thrombectomy catheter
1646,EMBOLIZATION COIL   MWCE 18S-1.8-3-A,45772838,Embolization coil
1647,EMBOLIZATION COIL   MWCE 18S-3.5-4-C,45772838,Embolization coil
1648,EMBOLIZATION COIL 18S,45772838,Embolization coil
1649,EMBOLIZATION COIL MWCE 18S-4-2-TORNADO,45772838,Embolization coil
1650,EMBOLIZATION COIL MWCE 18S-5-2-TORNADO,45772838,Embolization coil
1651,EMBOLIZATION COIL MWCE 18S-6-2-TORNADO,45772838,Embolization coil
1652,EMBOLIZATION COIL TORNADO,45772838,Embolization coil
1653,EMBOLIZATION MICROCOIL TORNADO,45772838,Embolization coil
1654,EMPIRA NC RX PTCA BALLOON CATHETER,45768093,Coronary angioplasty balloon catheter
1655,ENBD LIQUARY SET ,45762340,Drainage biliary catheter
1656,ENBD LIQUARY SET   ENBD-5-LIQ,45762340,Drainage biliary catheter
1657,ENBD LIQUARY SET   ENBD-7-LIQ,45762340,Drainage biliary catheter
1658,Encircling Band Sponge 5.5*7.5mm,4042164,Silicone implant
1659,ENDEAVOR DRUG ELUTING STENT,45772824,Drug-eluting coronary artery stent
1660,ENDEAVOR RESOLUTE,45772824,Drug-eluting coronary artery stent
1661,ENDEAVOR RESOLUTE CORONARY STENT,45772824,Drug-eluting coronary artery stent
1662,ENDEAVOR SPRINT,45772824,Drug-eluting coronary artery stent
1663,ENDO 5 AUTOMATIC CLIP 543965,45768017,Ligation clip
1664,ENDO BAG LARGE,45759711,Tissue extraction bag
1665,ENDO BAG MEDIUM,45759711,Tissue extraction bag
1666,ENDO BAG SMALL,45759711,Tissue extraction bag
1667,ENDO BAG X-LARGE,45759711,Tissue extraction bag
1668,ENDO CLIP (S-ER220),45768017,Ligation clip
1669,ENDO CLIP 5MM,45768017,Ligation clip
1670,ENDO CLIP III 5MM APPLIER,45768017,Ligation clip
1671,ENDO CLIP L.   176625/10mm,45768017,Ligation clip
1672,ENDO CLIP M.   176619/10mm,45768017,Ligation clip
1673,ENDO CLIP ML    176657,45768017,Ligation clip
1674,ENDO CLIP(메디테크),45768017,Ligation clip
1675,ENDO CLIP(LARGE) ER420,45768017,Ligation clip
1676,ENDO CLIP(L-ER420),45768017,Ligation clip
1677,ENDO CLIP(MEDIUM) ER220,45768017,Ligation clip
1678,"ENDO CLIP(MEDIUM, LARGE) ER320",45768017,Ligation clip
1679,ENDO CLIP(M-ER320),45768017,Ligation clip
1680,ENDO GIA II 12MM BODY,45765044,"Endoscopic manual linear cutting stapler, single-use"
1681,ENDO GIA II CARTILAGE 30-3.5,45765044,"Endoscopic manual linear cutting stapler, single-use"
1682,ENDO GIA II CARTILAGE 45-3.5,45765044,"Endoscopic manual linear cutting stapler, single-use"
1683,ENDO GIA II CARTILAGE 45-4.8,45765044,"Endoscopic manual linear cutting stapler, single-use"
1684,ENDO GIA II CARTILAGE 60-2.5,45765044,"Endoscopic manual linear cutting stapler, single-use"
1685,ENDO GIA II CARTILAGE 60-3.5,45765044,"Endoscopic manual linear cutting stapler, single-use"
1686,ENDO GIA II CARTILAGE 60-4.8,45765044,"Endoscopic manual linear cutting stapler, single-use"
1687,ENDO GIA ROTICULATOR 30-2,45765044,"Endoscopic manual linear cutting stapler, single-use"
1688,ENDO GIA ROTICULATOR 30-2.5,45765044,"Endoscopic manual linear cutting stapler, single-use"
1689,ENDO GIA ROTICULATOR 30-3.5,45765044,"Endoscopic manual linear cutting stapler, single-use"
1690,ENDO GIA ROTICULATOR 45-2,45765044,"Endoscopic manual linear cutting stapler, single-use"
1691,ENDO GIA ROTICULATOR 45-2.5,45765044,"Endoscopic manual linear cutting stapler, single-use"
1692,ENDO GIA ROTICULATOR 45-3.5,45765044,"Endoscopic manual linear cutting stapler, single-use"
