row,drugname,concept_id,concept_name
965,엠지 티엔에이주 페리 1920ml,19006410,Arginine
966,엠지 티엔에이주 페리 1920ml,19036781,Calcium Chloride
967,엠지 티엔에이주 페리 1920ml,19052489,Alanine
968,엠지 티엔에이주 페리 1920ml,19070224,Soybean Oil
969,엠지 티엔에이주 페리 1920ml,962398,Glycine
970,엠지 티엔에이주 페리 560ml,19006410,Arginine
971,엠지 티엔에이주 페리 560ml,19012686,Aspartic Acid
972,엠지 티엔에이주 페리 560ml,19036781,Calcium Chloride
973,엠지 티엔에이주 페리 560ml,19052489,Alanine
974,엠지 티엔에이주 페리 560ml,19069149,Histidine
975,엠지 티엔에이주 페리 560ml,19070224,Soybean Oil
976,엠지 티엔에이주 페리 560ml,19096877,Anhydrous Dextrose
977,엠지 티엔에이주 페리 560ml,911486,Glutamate
978,엠지 티엔에이주 페리 560ml,962398,Glycine
979,엠티엑스 주 50mg/2ml,1305124,Methotrexate 25 MG/ML Injectable Solution
980,염산페닐에프린주1% 10mg/1ml/VI,42707286,Phenylephrine Hydrochloride 10 MG/ML Injectable Solution
981,오논 캅셀,21603355,pranlukast
982,오라덱손정,1518258,Dexamethasone 0.5 MG Oral Tablet
983,오르필 서방정 150mg,745466,Valproate
984,오르필 주 300mg/3ml,745466,Valproate
985,오르필서방정 300mg,745466,Valproate
986,오르필서방정 600mg,745466,Valproate
987,오베스틴 질 캅셀(수),19049082,Estriol 0.5 MG Vaginal Suppository
988,오베스틴 질크림 15g(수),19063964,promestriene 10 MG/ML Vaginal Cream
989,오젝스 정 150mg,21603007,Fluoroquinolones
990,오플록사신 점안액 5ML,19079151,Ofloxacin 3 MG/ML Ophthalmic Solution
991,옥시마이신안 연고 3.5G,925989,Oxytetracycline 0.005 MG/MG / Polymyxin B 10 UNT/MG Ophthalmic Ointment
992,옥시토신 10U,1326142,Oxytocin 0.02 UNT/ML Injectable Solution
993,옥트스타틴 주 0.1mg/1ml/AM,19079138,1 ML Octreotide 0.1 MG/ML Injection
994,온단트 주 4mg/2ml/AM,19070869,Ondansetron 2 MG/ML Injectable Solution
995,온코타이스,19029095,"BCG, Live, Tice Strain 50 MG/ML Injectable Suspension"
996,올데카 캅셀 10mg,19102106,mepirodipine
997,올데카 캅셀 5mg,19102106,mepirodipine
998,올로스타 정 20/10mg,1510813,rosuvastatin
999,올로스타 정 20/10mg,40226742,olmesartan
1000,올리멜엔9이주 1000ml,19006410,Arginine
1001,올리멜엔9이주 1000ml,19012686,Aspartic Acid
1002,올리멜엔9이주 1000ml,19052489,Alanine
1003,올리멜엔9이주 1000ml,19069149,Histidine
1004,올리멜엔9이주 1000ml,911486,Glutamate
1005,올리멜엔9이주 1000ml,962398,Glycine
1006,옴니세프 캅셀 100MG,1796458,cefdinir
1007,왈파 정 2mg,40163524,Warfarin Sodium 2 MG Oral Tablet
1008,우루사 정 100mg,988095,Ursodeoxycholate
1009,울트라셋 정,1103359,Acetaminophen 325 MG / tramadol hydrochloride 37.5 MG Oral Tablet
1010,울트라셋세미정,1103314,Tramadol
1011,울트라셋세미정,1125315,Acetaminophen
1012,웰부트린 서방정 150mg,40222065,Bupropion Hydrochloride 150 MG Extended Release Oral Tablet
1013,위너프 주 1085ml,19006410,Arginine
1014,위너프 주 1085ml,19052489,Alanine
1015,위너프 주 1085ml,19069149,Histidine
1016,위너프 주 1085ml,19096877,Anhydrous Dextrose
1017,위너프 주 1085ml,45776278,calcium chlorate dihydrate
1018,위너프 주 1085ml,962398,Glycine
1019,위너프페리 주 1085ml,19006410,Arginine
1020,위너프페리 주 1085ml,19052489,Alanine
1021,위너프페리 주 1085ml,19069149,Histidine
1022,위너프페리 주 1085ml,19096877,Anhydrous Dextrose
1023,위너프페리 주 1085ml,45776278,calcium chlorate dihydrate
1024,위너프페리 주 1085ml,962398,Glycine
1025,위너프페리 주 1450ml,19006410,Arginine
1026,위너프페리 주 1450ml,19052489,Alanine
1027,위너프페리 주 1450ml,19069149,Histidine
1028,위너프페리 주 1450ml,19096877,Anhydrous Dextrose
1029,위너프페리 주 1450ml,45776278,calcium chlorate dihydrate
1030,위너프페리 주 1450ml,962398,Glycine
1031,유니바스크 정 15mg,42801011,Moexipril hydrochloride 15 MG Oral Tablet
1032,유락신 연고 1g,19105070,crotamiton 0.1 MG/MG Topical Ointment
1033,유로미텍산 400mg/4ml(수),19028312,Mesna 100 MG/ML Injectable Solution
1034,유로박솜캅셀 60mg,21603874,Other immunostimulants
1035,유로시트라 산 5G/PK,950435,Citric Acid
1036,유로시트라 산 5G/PK,976545,potassium citrate
1037,유로패스 주 5.5% 250ml,19124969,Amino Acids
1038,유멕스 정 5mg,40171282,selegiline hydrochloride 30 MG Oral Tablet
1039,유박스 주 0.5ml(소아용),528325,Hepatitis B Surface Antigen Vaccine 0.02 MG/ML Injectable Suspension
1040,유시락스 시럽 2mg/ml,40222653,Hydroxyzine Hydrochloride 2 MG/ML Oral Solution
1041,유유크리드 정 250mg,19079773,Ticlopidine Hydrochloride 250 MG Oral Tablet
1042,유토파,40239867,Ritodrine hydrochloride 10 MG/ML Injectable Solution
1043,유트로게스탄 연질캅셀 100mg,19067291,Progesterone 100 MG Oral Capsule
1044,유한메토트레세이트정,19007332,Methotrexate 2.5 MG Oral Tablet
1045,유한피라진아마이드정 500MG,1759456,Pyrazinamide 500 MG Oral Tablet
1046,이레사 정 250mg,1319194,gefitinib 250 MG Oral Tablet
1047,이베로가스트 액 20mL/BT,19066567,MILK THISTLE FRUIT
1048,이베로가스트 액 20mL/BT,19071835,Chelidonium majus preparation
1049,이베로가스트 액 20mL/BT,42898327,Angelica archangelica root extract
1050,이베로가스트 액 20mL/BT,42899145,Iberis amara seed extract
1051,이베로가스트 액 20mL/BT,42899303,Mentha piperita leaf extract
1052,이베로가스트 액 20mL/BT,42899368,Matricaria recutita flowering top extract
1053,이베로가스트 액 20mL/BT,42899426,Melissa officinalis leaf extract
1054,이베로가스트 액 20mL/BT,42900378,caraway oil
1055,이베로가스트 액 20mL/BT,43013634,Glycyrrhiza glabra extract
1056,이부스트린정 200mg,19107396,indobufen 200 MG Oral Tablet
1057,이소켓 서방정 40mg,1383988,Isosorbide Dinitrate 40 MG Extended Release Oral Tablet
1058,이소켓 스프레이 15ml,1383925,Isosorbide Dinitrate
1059,이소트릴 지속정 60mg,1383862,Isosorbide Mononitrate 60 MG Extended Release Oral Tablet
1060,이솝토아트로핀1%점안제 15ml,40243447,Atropine Sulfate 10 MG/ML Ophthalmic Solution
1061,이솝틴 서방정 180mg,40171863,Verapamil hydrochloride 180 MG Extended Release Oral Tablet
1062,이스모 정,1383851,Isosorbide Mononitrate 20 MG Oral Tablet
1063,이연세파제돈(정주용) 주 1g/VI,21602875,cefazedone
1064,이트라 정 100mg,19106152,Itraconazole 100 MG Oral Tablet
1065,이팩사 엑스알 서방캅셀 75mg,19103819,venlafaxine 75 MG Extended Release Oral Capsule
1066,이팩사엑스알서방캅셀 37.5mg,19134632,venlafaxine 37.5 MG Extended Release Oral Capsule
1067,이피에스 주 150MG/7.5ML/V,19077215,Etoposide 20 MG/ML Injectable Solution
1068,익셀 캅셀 25mg,19103539,Milnacipran hydrochloride 25 MG Oral Capsule
1069,익셀 캅셀 50mg,19103538,Milnacipran hydrochloride 50 MG Oral Capsule
1070,익셀 캡슐 12.5mg,19080226,milnacipran
1071,인데놀 정 10mg,40163312,Propranolol Hydrochloride 10 MG Oral Tablet
1072,인베가서방정 3mg,19134800,paliperidone 3 MG Extended Release Oral Tablet
1073,인베가서방정 6mg,19134801,paliperidone 6 MG Extended Release Oral Tablet
1074,인베가서방정 9mg,19134802,paliperidone 9 MG Extended Release Oral Tablet
1075,인슈라타드 휴먼 1000IU/10ML,19122121,Insulin
1076,인슈라타드이노렛 100단위/ml(*3ml),1596959,"3 ML insulin human, isophane 100 UNT/ML Prefilled Syringe"
1077,인스틸라젤 겔 11ml,1790812,Chlorhexidine
1078,인스틸라젤 겔 11ml,989878,Lidocaine
1079,인트랙 정 12.5mg,19022750,carvedilol 12.5 MG Oral Tablet
1080,일양플루백신프리필드시린지주 0.5ml,42873918,"Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus"
1081,일양플루백신프리필드시린지주 0.5ml,43531944,"Influenza B virus vaccine, B-Massachusetts-2-2012-like virus"
1082,일양플루백신프리필드시린지주 0.5ml,45776076,"Influenza A virus vaccine, A-Texas-50-2012 (H3N2)-like virus"
1083,일양하이트린 정 2mg,1341271,Terazosin 2 MG Oral Tablet
1084,자니딥 정 10mg,19017656,lercanidipine 10 MG Oral Tablet
1085,자디텐정,986118,Ketotifen 1 MG Oral Tablet
1086,자록소린정 5mg,907020,Metolazone 5 MG Oral Tablet
1087,자이데나 정 200mg,45893212,udenafil
1088,자이로릭 정 100mg,1167323,Allopurinol 100 MG Oral Tablet
1089,자이프렉사 10mg 정(수),785821,olanzapine 10 MG Oral Tablet
1090,자이프렉사 5mg 정(수),19079154,olanzapine 5 MG Oral Tablet
1091,자트랄 엑스엘정 10Mg,40164024,Alfuzosin hydrochloride 10 MG Extended Release Oral Tablet
1092,잔타임 현탁액,21600047,ANTACIDS
1093,잔탁 정 150mg,961050,Ranitidine 150 MG Oral Tablet
1094,잘라탄 점안액 2.5ml,19080125,latanoprost 0.05 MG/ML Ophthalmic Solution
1095,제넥솔 주 100mg/16.7ml/VI,1378382,Paclitaxel
1096,제니퍼프로게스테론 주 500mg/10ml/VI,1552382,Progesterone 50 MG/ML Injectable Solution
1097,제스탄정,21600698,"DIGESTIVES, INCL. ENZYMES"
1098,제스트릴 정10mg,19080128,Lisinopril 10 MG Oral Tablet
1099,제스판골드 정,21600699,Enzyme preparations
1100,제일 쿠마딘정 5MG,40163554,Warfarin Sodium 5 MG Oral Tablet
1101,제일 펜타스판 주 10% 500ml,40161356,Pentastarch 100 MG/ML Injectable Solution
1102,제일염산치아민 주,19137333,Thiamine 25 MG/ML Injectable Solution
1103,제일포도당주사액20% 20ml/AM,1560554,Glucose 200 MG/ML Injectable Solution
1104,제티암 (주) 1G,19051271,Cefotiam
1105,제포 정 4mg,19101640,lornoxicam 4 MG Oral Tablet
1106,제픽스 정 (전),19029028,Lamivudine 100 MG Oral Tablet
1107,젤로다 정 150mg,19023529,capecitabine 150 MG Oral Tablet
1108,젤로다 정 500mg,19023530,capecitabine 500 MG Oral Tablet
1109,젤막 정,916945,tegaserod 6 MG Oral Tablet
1110,젬자 1g 주,1314924,gemcitabine
1111,젬자 200mg 주,1314924,gemcitabine
1112,젬트라 주 1G/VI,1314924,gemcitabine
1113,젬트라 주 200mg/VI,1314924,gemcitabine
1114,조믹 정 2.5mg,19023301,zolmitriptan 2.5 MG Oral Tablet
1115,조비락스 정주 250mg/VI,1703687,Acyclovir
1116,조코 정 40mg,1539407,Simvastatin 40 MG Oral Tablet
1117,조프란 4MG,19070869,Ondansetron 2 MG/ML Injectable Solution
1118,조프란 정 8mg,19079171,Ondansetron 8 MG Oral Tablet
1119,조프란 주 8mg/4ml/AM,19070869,Ondansetron 2 MG/ML Injectable Solution
1120,졸로푸트 정 50mg,739209,Sertraline 50 MG Oral Tablet
1121,종근당 황산스트렙토마이신주 1G,1836191,Streptomycin
1122,중외 5%포도당주사액 200ML,19076324,Glucose 50 MG/ML Injectable Solution
1123,중외 하트만 용액  1000ML,19135831,"calcium chloride, dihydration 0.2 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML / Sodium Lactate 3.1 MG/ML Irrigation Solution"
1124,중외15%만니톨주사액 100ml/PA,994095,Mannitol 150 MG/ML Injectable Solution
1125,중외15%만니톨주사액 500ml,994095,Mannitol 150 MG/ML Injectable Solution
1126,중외생리식염주사액100ml(IV용),19079524,Sodium Chloride 0.154 MEQ/ML Injectable Solution
1127,중외주사용수 1000ml,19113528,Water 1000 MG/ML Injectable Solution
1128,중외트로파민6% 주 100ml/백,19055607,AMINO ACIDS 6%
1129,중외포도당주사액10% 1000ML,1560553,Glucose 100 MG/ML Injectable Solution
1130,중외포도당주사액10% 500ML,1560553,Glucose 100 MG/ML Injectable Solution
1131,중외하트만 용액 500ML,19135831,"calcium chloride, dihydration 0.2 MG/ML / Potassium Chloride 0.3 MG/ML / Sodium Chloride 6 MG/ML / Sodium Lactate 3.1 MG/ML Irrigation Solution"
1132,지노-브이 질 연질캅셀,915981,Neomycin
1133,지노-브이 질 연질캅셀,922570,Nystatin
1134,지노-브이 질 연질캅셀,948582,Polymyxin B
1135,지판 주 50mg/1ml/AM,19135536,tramadol hydrochloride 50 MG/ML Injectable Solution
1136,징크에스 주 10ml/VI,19044522,Zinc Sulfate
1137,치옥타시드 HR 정 600mg,1386695,Thioctic Acid 600 MG Oral Tablet
1138,카네스텐 크림 20G/TB,19075603,Clotrimazole 10 MG/ML Vaginal Cream
1139,카네스텐질정 100MG,19018880,Clotrimazole 100 MG Vaginal Tablet
1140,카도파민 정 5mg,21600280,Adrenergic and dopaminergic agents
1141,카두라 엑스엘 서방정 4MG,1363086,Doxazosin 4 MG Extended Release Oral Tablet
1142,카듀엣 정 5mg/10mg,1332497,Amlodipine 5 MG / atorvastatin 10 MG Oral Tablet
1143,카마제핀 정 200mg,740302,Carbamazepine 200 MG Extended Release Oral Tablet
1144,카마제핀씨알 정 300mg,19108077,Carbamazepine 300 MG Extended Release Oral Tablet
1145,카마제핀씨알정 200MG,740302,Carbamazepine 200 MG Extended Release Oral Tablet
1146,카멕스캅셀 500mg,19074847,Cefadroxil 500 MG Oral Capsule
1147,카비벤 페리페랄 1440ml,1560524,Glucose
1148,카비벤 페리페랄 1440ml,19006410,Arginine
1149,카비벤 페리페랄 1440ml,19036781,Calcium Chloride
1150,카비벤 페리페랄 1440ml,19052489,Alanine
1151,카비벤 페리페랄 1440ml,19070224,Soybean Oil
1152,카비벤 페리페랄 1440ml,962398,Glycine
1153,카소덱스 정 50mg,1344403,bicalutamide 50 MG Oral Tablet
1154,카이로케인 주 25mg/10ml/AM,19098741,Levobupivacaine
1155,카이로케인 주 50mg/10ml/AM,40226929,Levobupivacaine hydrochloride 5 MG/ML Injectable Solution
1156,카이트릴 정,19077738,Granisetron 1 MG Oral Tablet
1157,카이트릴 주 1mg/1ml/AM,19058193,Granisetron 1 MG/ML Injectable Solution
1158,카프릴 정 12.5mg,19074672,Captopril 12.5 MG Oral Tablet
1159,카프릴 정 50mg,19074673,Captopril 50 MG Oral Tablet
1160,카프솔 주 500ml,19130902,Alanine 5.4 MG/ML / Arginine 12 MG/ML / Aspartate 3.2 MG/ML / Cysteine 0.24 MG/ML / Glutamate 5 MG/ML / Glycine 3.6 MG/ML / Histidine 4.8 MG/ML / Isoleucine 8.2 MG/ML / Leucine 1.4 MG/ML / Lysine 1.2 MG/ML / Methionine 3.4 MG/ML / Phenylalanine 4.8 MG/ML
1161,캄토프(캠푸토) 주 100mg/5ml/VI,40174870,Irinotecan hydrochloride 20 MG/ML Injectable Solution
1162,캄토프(캠푸토) 주 40mg/2ml/VI,40174870,Irinotecan hydrochloride 20 MG/ML Injectable Solution
1163,캐롤에프 시럽,1177480,Ibuprofen
1164,캐롤에프 시럽,19006410,Arginine
1165,캘코트 6MG,19016866,deflazacort 6 MG Oral Tablet
1166,케로민 주 30mg/1ml/AM,40164851,Ketorolac Tromethamine 30 MG/ML Injectable Solution
1167,케이디핀지속정 5mg,1353818,Felodipine 5 MG Extended Release Oral Tablet
1168,케이살탄 정 50mg,40185304,Losartan Potassium 50 MG Oral Tablet
1169,케타민주사 500mg/10ml(향),785649,Ketamine
1170,케타스캅셀 10mg,21601587,Other peripheral vasodilators
1171,케토신주사 30mg/1ml/AM,40164851,Ketorolac Tromethamine 30 MG/ML Injectable Solution
1172,케토톱 6장/1pk,1185922,Ketoprofen
1173,케프라 정 500mg,711589,Levetiracetam 500 MG Oral Tablet
1174,코니엘 정 4mg,21601761,benidipine
1175,코다론 정 200mg,1309992,Amiodarone hydrochloride 200 MG Oral Tablet
1176,코리트 산,19049105,Potassium Chloride
1177,코리트 산,19069003,"Sodium Acetate, Anhydrous"
1178,코리트 산,939506,Sodium Bicarbonate
1179,코리트 산,948515,Polyethylene Glycols
1180,코리트 산,967823,Sodium Chloride
1181,코솝 점안액 5ml/BT,902489,dorzolamide 20 MG/ML / Timolol 5 MG/ML Ophthalmic Solution
1182,코자 50mg 정,40185304,Losartan Potassium 50 MG Oral Tablet
1183,코자 정 100MG,40185276,Losartan Potassium 100 MG Oral Tablet
1184,코타민시럽 1ml,1119510,Dextromethorphan
1185,코타민시럽 1ml,1135766,Phenylephrine
1186,코타민시럽 1ml,1163944,Guaifenesin
1187,코타민시럽 1ml,1192710,Chlorpheniramine
1188,코트림주사액 (400/80mg)/5ml/AM,1836452,Sulfamethoxazole 80 MG/ML / Trimethoprim 16 MG/ML Injectable Solution
1189,코티캡 주 100mg/VI,975125,Hydrocortisone
1190,코포랑 캅셀 500mg,19135781,Polysaccharides
1191,코푸 정,1163944,Guaifenesin
1192,코푸 정,1189596,dihydrocodeine
1193,코푸 정,1192710,Chlorpheniramine
1194,코푸 정,42899698,N-methylephedrine
1195,콘로인 캅셀 400mg,1395598,Chondroitin Sulfates 400 MG Oral Capsule
1196,콘서타 OROS 서방정 18mg(향),40236426,Methylphenidate Hydrochloride 18 MG Extended Release Oral Tablet
1197,콘서타 OROS 서방정 27mg,40236459,Methylphenidate Hydrochloride 27 MG Extended Release Oral Tablet
1198,콜론라이트산 4L,19049105,Potassium Chloride
1199,콜론라이트산 4L,939506,Sodium Bicarbonate
1200,콜론라이트산 4L,939976,sodium sulfate
1201,콜론라이트산 4L,967823,Sodium Chloride
1202,콜론라이트산 4L,986417,POLYETHYLENE GLYCOL 3350
1203,콜키신 0.6MG,1101556,Colchicine 0.6 MG Oral Tablet
1204,콤비글라이즈서방정 5/500mg,40231402,Metformin hydrochloride 500 MG / saxagliptin 5 MG Extended Release Oral Tablet
1205,콤비플렉스엠시티페리주 1250ml,19006410,Arginine
1206,콤비플렉스엠시티페리주 1250ml,19011069,Asparagine
1207,콤비플렉스엠시티페리주 1250ml,19052489,Alanine
1208,콤비플렉스엠시티페리주 1250ml,19096877,Anhydrous Dextrose
1209,콤비플렉스엠시티페리주 1250ml,45776278,calcium chlorate dihydrate
1210,콤비플렉스엠시티페리주 1250ml,962398,Glycine
1211,콤비플렉스엠시티페리주 1875ml,19006410,Arginine
1212,콤비플렉스엠시티페리주 1875ml,19011069,Asparagine
1213,콤비플렉스엠시티페리주 1875ml,19052489,Alanine
1214,콤비플렉스엠시티페리주 1875ml,19096877,Anhydrous Dextrose
1215,콤비플렉스엠시티페리주 1875ml,45776278,calcium chlorate dihydrate
1216,콤비플렉스엠시티페리주 1875ml,962398,Glycine
1217,콤탄 정 200mg,19082346,entacapone 200 MG Oral Tablet
1218,큐란 주 100mg/4ml/AM,961167,Ranitidine 25 MG/ML Injectable Solution
1219,큐레틴 정,43013866,Vaccinium myrtillus whole extract
1220,큐티베이트 크림 10g/TB,40171045,Fluticasone propionate 0.5 MG/ML Topical Cream
1221,크라렉스 주 5% 500ml,19055603,AMINO ACIDS 5%
1222,크라모틴 정,1713671,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet
1223,크라비트 점안액,19080152,Levofloxacin 5 MG/ML Ophthalmic Solution
1224,크라비트 주 750mg/150ml/BT,1742256,Levofloxacin 5 MG/ML Injectable Solution
1225,크레스토 정 10mg,1510813,rosuvastatin
1226,크레오신주 2ML,19030822,Clindamycin 150 MG/ML Injectable Solution
1227,크레인 정,21601586,kallidinogenase
1228,크목실린 주 1.2g,1759851,Amoxicillin 50 MG/ML / Clavulanate 10 MG/ML Injectable Solution
1229,클라로마 정 250mg,1750501,Clarithromycin 250 MG Oral Tablet
1230,클라로마 정 500mg,1750562,Clarithromycin 500 MG Oral Tablet
1231,클래리건조시럽125mg/5ml,19058072,Clarithromycin 25 MG/ML Oral Suspension
1232,클로브이 정 75mg,19075601,clopidogrel 75 MG Oral Tablet
1233,클로스원 캡슐,1112807,Aspirin
1234,클로스원 캡슐,1322184,clopidogrel
1235,클로자릴정 100mg (극),800881,Clozapine 100 MG Oral Tablet
1236,클로자릴정 25mg (극),800892,Clozapine 25 MG Oral Tablet
1237,클로피린 캡슐,1112807,Aspirin
1238,클로피린 캡슐,1322184,clopidogrel
1239,클리드점안액 10ml/BT,19049909,Potassium Iodide
1240,클리드점안액 10ml/BT,19069873,Sodium Iodide
1241,키톨락점안액 5ml/BT,40164863,Ketorolac Tromethamine 5 MG/ML Ophthalmic Solution
1242,타가메트 주,19062433,Cimetidine 100 MG/ML Injectable Solution
1243,타겐에프 캅셀,43013866,Vaccinium myrtillus whole extract
1244,타나민 정 40mg,1391913,Ginkgo biloba extract 40 MG Oral Tablet
1245,타나민 주 17.5mg/5ml/AM,1391889,Ginkgo biloba extract
1246,타라신 정 10mg,19133853,Ketorolac Tromethamine 10 MG Oral Tablet
1247,타라신 주,40164851,Ketorolac Tromethamine 30 MG/ML Injectable Solution
1248,타리비드귀약 5ML,923115,Ofloxacin 3 MG/ML Otic Solution
1249,타리온 정 10mg,40166571,bepotastine
1250,타미풀 주,19135832,Multivitamin preparation
1251,타박신 주 4.5g/VI,1746143,Piperacillin 200 MG/ML / tazobactam 25 MG/ML Injectable Solution
1252,타박탐 주 4.5g/VI,1746143,Piperacillin 200 MG/ML / tazobactam 25 MG/ML Injectable Solution
1253,타세놀이알 서방정,19072235,Acetaminophen 650 MG Extended Release Oral Tablet
1254,타이가실 주 50mg/VI,1742432,tigecycline
1255,타이레놀 시럽 1ml,19072159,Acetaminophen 32 MG/ML Oral Suspension
1256,타이록신 캅셀 250mg,21602880,cefroxadine
1257,타이유프로게스테론주 500mg/10ml/VI,1552382,Progesterone 50 MG/ML Injectable Solution
1258,타코실(타코콤)45.6㎠/매(Big)(9.5cm*4.8cm),1300673,Thrombin
1259,타코실(타코콤)45.6㎠/매(Big)(9.5cm*4.8cm),19000729,Aprotinin
1260,타코실(타코콤)45.6㎠/매(Big)(9.5cm*4.8cm),19054702,Fibrinogen
1261,타코실(타코콤)45.6㎠/매(Big)(9.5cm*4.8cm),19062817,Riboflavin
1262,타코실(타코콤)45.6㎠/매(Big)(9.5cm*4.8cm),19069049,Collagen
1263,타플로탄점안액 0.0015% 2.5ml,42708247,tafluprost 0.015 MG/ML Ophthalmic Solution
1264,탁소텔 주 20mg (수),1315942,docetaxel
1265,탁소텔 주 80mg (수),1315944,docetaxel 40 MG/ML Injectable Solution
1266,탐스날 서방정,924566,tamsulosin
1267,탐스피드 캡슐 0.2mg,924566,tamsulosin
1268,테라사이클린 캅셀 250MG,19019852,Tetracycline 250 MG Oral Capsule
1269,테올란 200MG,1237168,Theophylline 200 MG Extended Release Oral Capsule
1270,테올란 캅셀 100MG,19125937,Theophylline 100 MG Extended Release Oral Capsule
1271,테트로닌 정 20mcg,40174307,liothyronine sodium 0.02 MG Oral Tablet
1272,토렘 정 10mg,942382,torsemide 10 MG Oral Tablet
1273,토미론 정 100mg,21602894,Third-generation cephalosporins
1274,토미포란 주 500mg/VI,40255561,cefbuperazone
1275,토브라 주 100mg/2ml,19104455,Tobramycin 50 MG/ML Injectable Solution
1276,토비애즈서방정 4mg,19134957,Fesoterodine Fumarate 4 MG Extended Release Oral Tablet
1277,토비애즈서방정 8mg,19134959,Fesoterodine Fumarate 8 MG Extended Release Oral Tablet
1278,토파맥스 100mg 정,742304,topiramate 100 MG Oral Tablet
1279,토파맥스 25mg,742303,topiramate 25 MG Oral Tablet
1280,토프리드 정 25/12.5mg,19003828,Captopril 25 MG / Hydrochlorothiazide 12.5 MG Oral Tablet
1281,토피라트 정 25mg,742303,topiramate 25 MG Oral Tablet
1282,트라보코트 크림 10g,19003491,isoconazole
1283,트라보코트 크림 10g,19026096,Diflucortolone
1284,트라스트 패취 7매/1팩,1146810,Piroxicam
1285,트라우밀 주,19071836,Calendula officinalis extract
1286,트라우밀 주,42898402,Aconitum napellus extract
1287,트라우밀 주,42899367,Matricaria chamomilla whole extract
1288,트라우밀 주,42903989,Bellis perennis extract
1289,트라우밀 주,919839,Arnica extract
1290,트라우밀 주,958527,"belladonna extract, USP"
1291,트레스탄 캅셀,1110727,Cyproheptadine
1292,트레스탄 캅셀,19050104,Carnitine
1293,트레스탄 캅셀,19092377,Lysine
1294,트레스탄 캅셀,19135931,Cyanocobalamin Co57
1295,트렌탈 서방정 400mg,19079220,Pentoxifylline 400 MG Extended Release Oral Tablet
1296,트리돌 서방정 100mg,1103361,tramadol hydrochloride 100 MG Extended Release Oral Tablet
1297,트리돌 주 100mg/2ml/AM,19135536,tramadol hydrochloride 50 MG/ML Injectable Solution
1298,트리렙탈 300mg 정,718128,oxcarbazepine 300 MG Oral Tablet
1299,트리렙탈 600mg 정,718129,oxcarbazepine 600 MG Oral Tablet
1300,트리손키트 주사 1g/VI (NS100ml),1777806,Ceftriaxone
1301,트리손키트 주사 1g/VI (NS100ml),967823,Sodium Chloride
1302,트리시브 정,19005512,Trimebutine
1303,트리시브 정,19030387,Bromelains
1304,트리시브 정,19052817,Dehydrocholate
1305,트리시브 정,926487,Pancreatin
1306,트리시브 정,966991,Simethicone
1307,트리아핀 정 2.5/2.5mg,19101748,Felodipine 2.5 MG / Ramipril 2.5 MG Oral Tablet
1308,트리암 주 40mg/1ml/VI,40234038,Triamcinolone Acetonide 40 MG/ML Injectable Suspension
1309,트리암시놀론 주 40mg,40234038,Triamcinolone Acetonide 40 MG/ML Injectable Suspension
1310,트리테이스 정 2.5mg,1334461,Ramipril 2.5 MG Oral Tablet
1311,트리테이스 정 5mg,1334492,Ramipril 5 MG Oral Tablet
1312,트리테이스프로텍트정 10mg,19102170,Ramipril 10 MG Oral Tablet
1313,트리파몰 정 15mg,21601490,"Sulfonamides, plain"
1314,트윈스타 정 40/10mg,40167843,Amlodipine 10 MG / telmisartan 40 MG Oral Tablet
1315,티로민 주 50MG,19104240,tiropramide 16.7 MG/ML Injectable Solution
1316,티로파정 100mg,19100759,tiropramide
1317,티에남 주 250mg,40223500,Cilastatin 250 MG/ML / Imipenem 250 MG/ML Injectable Suspension
1318,티에남 주 500mg,1797275,Cilastatin 5 MG/ML / Imipenem 5 MG/ML Injectable Solution
1319,티에스원캡슐 20,21601444,"tegafur, combinations"
1320,틴세트 정,19004270,oxatomide 30 MG Oral Tablet
1321,파노린 주 15mg/1ml/AM,19064879,pamidronate 15 MG/ML Injectable Solution
1322,파리에트 정 10mg,40163283,Rabeprazole sodium 10 MG Delayed Release Oral Tablet
1323,파미솔 주 500ml/BT,19055607,AMINO ACIDS 6%
1324,파스틱 정 30mg,19107111,nateglinide 30 MG Oral Tablet
1325,파제론 주 1G,21602875,cefazedone
1326,파지돈 주 1g/VI,21602875,cefazedone
1327,파타놀점안액0.1% 5ml,40240035,olopatadine 1 MG/ML Ophthalmic Solution
1328,파텐션 정 20mg,19121182,sildenafil 20 MG Oral Tablet
1329,팍실CR 정 12.5mg,19115249,Paroxetine 12.5 MG Extended Release Oral Tablet
1330,판 삐콤,19010970,Vitamin B Complex
1331,판토록 정 20mg,948079,pantoprazole 20 MG Delayed Release Oral Tablet
1332,판토록 정 40mg,19080217,pantoprazole 40 MG Delayed Release Oral Tablet
1333,판토록 주 40mg/VI,948080,pantoprazole 4 MG/ML Injectable Solution
1334,팔로델 정 2.5mg,730551,Bromocriptine 2.5 MG Oral Tablet
1335,팜비어 정 250mg,1703608,famciclovir 250 MG Oral Tablet
1336,팜비어 정 750mg,1703605,famciclovir 750 MG Oral Tablet
1337,팩티브 정 320mg,19124327,gemifloxacin 320 MG Oral Tablet
1338,페가몰정 75MG,19076623,Dipyridamole 75 MG Oral Tablet
