row,diagname,concept_id,concept_name
1642,Malignant neoplasm of Middle ear,4178957,Malignant tumor of middle ear
1643,Malignant neoplasm of accessory sinuses,4181486,Malignant tumor of nasal sinuses
1644,Malignant neoplasm of maxillary sinus (highmore)(maxillary)(antrum),4181347,Malignant tumor of maxillary sinus
1645,Malignant neoplasm of ethmoidal sinus,4177109,Malignant tumor of ethmoid sinus
1646,Malignant neoplasm of frontal sinus,4181348,Malignant tumor of frontal sinus
1647,Malignant neoplasm of Sphenoidal sinus,4177110,Malignant tumor of sphenoid sinus
1648,"Malignant neoplasm of accessory sinus, unspecified",4181486,Malignant tumor of nasal sinuses
1649,Squamous cell carcinoma of nasal sinus,4181486,Malignant tumor of nasal sinuses
1650,Fibrosarcoma of nasal sinus,4181486,Malignant tumor of nasal sinuses
1651,Malignant neoplasm of Maxillary sinus,4181347,Malignant tumor of maxillary sinus
1652,Malignant neoplasm of Overlapping lesion of accessory sinuses,4094872,"Malignant neoplasm, overlapping lesion of accessory sinuses"
1653,Malignant neoplasm of larynx,4178968,Malignant tumor of larynx
1654,Malignant neoplasm of Glottis,4092211,Malignant tumor of glottis
1655,Malignant neoplasm of intrinsic larynx,4092211,Malignant tumor of glottis
1656,Malignant neoplasm of vocal cord (true) NOS,4092211,Malignant tumor of glottis
1657,Malignant neoplasm of supraglottis,4092212,Malignant tumor of supraglottis
1658,"Malignant neoplasm of aryepiglottic fold, laryngeal aspect",4092212,Malignant tumor of supraglottis
1659,Malignant neoplasm of epiglottis (suprahyoid portion) NOS,4092212,Malignant tumor of supraglottis
1660,Malignant neoplasm of extrinsic larynx,4092212,Malignant tumor of supraglottis
1661,Malignant neoplasm of false vocal cord,4092212,Malignant tumor of supraglottis
1662,Malignant neoplasm of posterior (laryngeal) surface of epiglottis,4092212,Malignant tumor of supraglottis
1663,Malignant neoplasm of Subglottis,4177111,Malignant tumor of subglottis
1664,Malignant neoplasm of Laryngeal cartilage,4181349,Malignant tumor of laryngeal cartilage
1665,Malignant neoplasm of Overlapping lesion of larynx,22839,Overlapping malignant neoplasm of larynx
1666,"Malignant neoplasm of larynx, unspecified",4178968,Malignant tumor of larynx
1667,Malignant neoplasm of trachea,4177112,Malignant tumor of trachea
1668,Malignant neoplasm of bronchus and lung,442139,Primary malignant neoplasm of bronchus
1669,Malignant neoplasm of main bronchus,4157333,Malignant neoplasm of main bronchus
1670,"Malignant neoplasm of main bronchus, right",4157333,Malignant neoplasm of main bronchus
1671,"Malignant neoplasm of hilus (of lung), right",4157333,Malignant neoplasm of main bronchus
1672,"Malignant neoplasm of main bronchus, left",4157333,Malignant neoplasm of main bronchus
1673,"Malignant neoplasm of hilus (of lung), left",4157333,Malignant neoplasm of main bronchus
1674,"Malignant neoplasm of main bronchus, unspecified side",4157333,Malignant neoplasm of main bronchus
1675,"Malignant neoplasm of hilus (of lung), unspecified side",4157333,Malignant neoplasm of main bronchus
1676,Malignant neoplasm of carina,4157333,Malignant neoplasm of main bronchus
1677,Malignant neoplasm of hilus (of lung),4157333,Malignant neoplasm of main bronchus
1678,"Malignant neoplasm of upper lobe, bronchus or lung",4151250,"Malignant neoplasm of upper lobe, bronchus or lung"
1679,"Malignant neoplasm of upper lobe, bronchus or lung, right",4151250,"Malignant neoplasm of upper lobe, bronchus or lung"
1680,"Malignant neoplasm of upper lobe, bronchus or lung, left",4151250,"Malignant neoplasm of upper lobe, bronchus or lung"
1681,"Pancoast's syndrome or tumor, left",4151250,"Malignant neoplasm of upper lobe, bronchus or lung"
1682,"Malignant neoplasm of upper lobe, bronchus or lung, unspecified side",4151250,"Malignant neoplasm of upper lobe, bronchus or lung"
1683,"Malignant neoplasm of middle lobe, bronchus or lung",4092217,"Malignant neoplasm of middle lobe, bronchus or lung"
1684,"Malignant neoplasm of lower lobe, bronchus or lung",4094876,"Malignant neoplasm of lower lobe, bronchus or lung"
1685,"Malignant neoplasm of lower lobe, bronchus or lung, right",4094876,"Malignant neoplasm of lower lobe, bronchus or lung"
1686,"Malignant neoplasm of lower lobe, bronchus or lung, left",4094876,"Malignant neoplasm of lower lobe, bronchus or lung"
1687,"Malignant neoplasm of lower lobe, bronchus or lung, unspecified side",4094876,"Malignant neoplasm of lower lobe, bronchus or lung"
1688,Malignant neoplasm of overlapping lesion of bronchus and lung,258375,Overlapping malignant neoplasm of bronchus and lung
1689,"Malignant neoplasm of overlapping lesion of bronchus and lung, right",258375,Overlapping malignant neoplasm of bronchus and lung
1690,"Malignant neoplasm of overlapping lesion of bronchus and lung, unspecified side",258375,Overlapping malignant neoplasm of bronchus and lung
1691,Scleroderma,258375,Overlapping malignant neoplasm of bronchus and lung
1692,Primary malignant neoplasm of bronchus,442139,Primary malignant neoplasm of bronchus
1693,"Malignant neoplasm of bronchus or lung, unspecified, right",442139,Primary malignant neoplasm of bronchus
1694,"Adenocarcinoma of lung, right",442139,Primary malignant neoplasm of bronchus
1695,"Adenoid cystic carcinoma of lung, right",442139,Primary malignant neoplasm of bronchus
1696,"Carcinoid tumor of lung, right",442139,Primary malignant neoplasm of bronchus
1697,"Sarcoma of lung, right",442139,Primary malignant neoplasm of bronchus
1698,"Small cell carcinoma of lung, right",442139,Primary malignant neoplasm of bronchus
1699,"Squamous cell carcinoma of lung, right",442139,Primary malignant neoplasm of bronchus
1700,"Malignant neoplasm of bronchus or lung, unspecified, left",442139,Primary malignant neoplasm of bronchus
1701,"Adenocarcinoma of lung, left",442139,Primary malignant neoplasm of bronchus
1702,"Adenoid cystic carcinoma of lung, left",442139,Primary malignant neoplasm of bronchus
1703,"Carcinoid tumor of lung, left",442139,Primary malignant neoplasm of bronchus
1704,"Sarcoma of lung, left",442139,Primary malignant neoplasm of bronchus
1705,"Small cell carcinoma of lung, left",442139,Primary malignant neoplasm of bronchus
1706,"Squamous cell carcinoma of lung, left",442139,Primary malignant neoplasm of bronchus
1707,"Malignant neoplasm of bronchus or lung, unspecified, unspecified side",442139,Primary malignant neoplasm of bronchus
1708,"Adenocarcinoma of lung, unspecified side",442139,Primary malignant neoplasm of bronchus
1709,"Adenoid cystic carcinoma of lung, unspecified side",442139,Primary malignant neoplasm of bronchus
1710,"Carcinoid tumor of lung, unspecified side",442139,Primary malignant neoplasm of bronchus
1711,"Large cell carcinoma of lung, unspecified side",442139,Primary malignant neoplasm of bronchus
1712,"Sarcoma of lung, unspecified side",442139,Primary malignant neoplasm of bronchus
1713,"Small cell carcinoma of lung, unspecified side",442139,Primary malignant neoplasm of bronchus
1714,"Squamous cell carcinoma of lung, unspecified side",442139,Primary malignant neoplasm of bronchus
1715,Adenocarcinoma of lung,442139,Primary malignant neoplasm of bronchus
1716,Adenoid cystic carcinoma of lung,442139,Primary malignant neoplasm of bronchus
1717,Carcinoid tumor of lung,442139,Primary malignant neoplasm of bronchus
1718,Large cell carcinoma of lung,442139,Primary malignant neoplasm of bronchus
1719,Sarcoma of lung,442139,Primary malignant neoplasm of bronchus
1720,Small cell carcinoma of lung,442139,Primary malignant neoplasm of bronchus
1721,Squamous cell carcinoma of lung,442139,Primary malignant neoplasm of bronchus
1722,Main bronchus,4157333,Malignant neoplasm of main bronchus
1723,"Upper lobe, bronchus or lung",4151250,"Malignant neoplasm of upper lobe, bronchus or lung"
1724,"Lower lobe, bronchus or lung",4094876,"Malignant neoplasm of lower lobe, bronchus or lung"
1725,Overlapping lesion of bronchus and lung,258375,Overlapping malignant neoplasm of bronchus and lung
1726,"Malignant neoplasm of overlapping lesion of bronchus and lung, left",258375,Overlapping malignant neoplasm of bronchus and lung
1727,"Bronchus or lung, unspecified",442139,Primary malignant neoplasm of bronchus
1728,Malignant neoplasm of thymus,443380,Malignant tumor of thymus
1729,"Malignant neoplasm of thymus, invasive",443380,Malignant tumor of thymus
1730,Malignant thymoma,443380,Malignant tumor of thymus
1731,"Malignant neoplasm of heart, mediastinum and pleura",321234,"Overlapping malignant neoplasm of heart, mediastinum and pleura"
1732,Malignant neoplasm of heart,4180796,Malignant tumor of heart
1733,Haemangiosarcoma of heart,4180796,Malignant tumor of heart
1734,Malignant neoplasm of anterior mediastinum,40486175,Malignant neoplasm of anterior mediastinum
1735,Malignant neoplasm of posterior mediastinum,40490995,Malignant neoplasm of posterior mediastinum
1736,"Malignant neoplasm of mediastinum, part unspecified",4181484,Malignant tumor of mediastinum
1737,Malignant neoplasm of pleura,4180795,Malignant tumor of pleura
1738,Malignant neoplasm of parietal pleura,4180795,Malignant tumor of pleura
1739,Malignant neoplasm of visceral pleura,4180795,Malignant tumor of pleura
1740,"Malignant neoplasm of Overlapping lesion of heart, mediastinum and pleura",321234,"Overlapping malignant neoplasm of heart, mediastinum and pleura"
1741,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,44794365,[X]Malignant neoplasm of respiratory AND/OR intrathoracic organs
1742,"Malignant neoplasm of upper respiratory tract, part unspecified",40493020,Malignant neoplasm of upper respiratory tract
1743,Malignant neoplasm of overlapping lesion of respiratory and intrathoracic organs,258375,Overlapping malignant neoplasm of bronchus and lung
1744,Malignant neoplasm of other and ill defined sites in the respiratory system and intrathoracic organs,44799038,[X]Malignant neoplasm of ill-defined sites within the respiratory system
1745,Malignant neoplasm of respiratory tract NOS,44799038,[X]Malignant neoplasm of ill-defined sites within the respiratory system
1746,Malignant neoplasm of Ill-defined sites within the respiratory system,44799038,[X]Malignant neoplasm of ill-defined sites within the respiratory system
1747,Malignant neoplasm of bone and articular cartilage of limbs,4244662,Disorder of musculoskeletal system
1748,Malignant neoplasm of Scapula and long bones of upper limb,81237,Primary malignant neoplasm of upper limb bones and scapula
1749,Malignant neoplasm of short bones of upper limb,4246803,Primary malignant neoplasm of bone of upper limb
1750,Malignant neoplasm of long bones of lower limb,436640,Primary malignant neoplasm of long bone of lower limb
1751,Malignant neoplasm of short bones of lower limb,4162138,Malignant neoplasm of bone of lower limb
1752,Malignant neoplasm of bone and articular cartilage of limbs,4144194,Adamantinoma of long bone
1753,"Malignant neoplasm of Bone and articular cartilage of limb, unspecified",4144194,Adamantinoma of long bone
1754,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,444203,Primary malignant neoplasm of articular cartilage
1755,Malignant neoplasm of Bones of skull and face,258084,Malignant neoplasm of bones of skull and face
1756,Malignant neoplasm of craniofacial bones,258084,Malignant neoplasm of bones of skull and face
1757,Malignant neoplasm of orbit bone,258084,Malignant neoplasm of bones of skull and face
1758,Malignant neoplasm of maxilla(superior),258084,Malignant neoplasm of bones of skull and face
1759,Malignant neoplasm of maxilla (superior),258084,Malignant neoplasm of bones of skull and face
1760,Malignant neoplasm of Mandible,40490993,Malignant neoplasm of mandible
1761,Malignant neoplasm of lower jaw bone,40490993,Malignant neoplasm of mandible
1762,Malignant neoplasm of vertebral column,4177113,Malignant tumor of vertebral column
1763,Neurofibroma of spine,4177113,Malignant tumor of vertebral column
1764,Anaplastic astrocytoma of spine,4177113,Malignant tumor of vertebral column
1765,Glioblastoma multiforme of spine,4177113,Malignant tumor of vertebral column
1766,"Malignant neoplasm of Ribs, sternum and clavicle",4095575,Malignant neoplasm of ribs and/or sternum and/or clavicle
1767,"Malignant neoplasm of pelvic bones, sacrum and coccyx",4089769,"Malignant neoplasm of pelvic bones, sacrum and coccyx"
1768,Malignant neoplasm of Overlapping lesion of bone and articular cartilage,4032866,Overlapping malignant neoplasm of bone and articular cartilage
1769,"Malignant neoplasm of Bone and articular cartilage, unspecified",444203,Primary malignant neoplasm of articular cartilage
1770,Malignant neoplasm of maxillofacial bones,258084,Malignant neoplasm of bones of skull and face
1771,Malignant melanoma of skin,141232,Malignant melanoma of skin
1772,Malignant melanoma of lip,4089860,Malignant melanoma of lip
1773,"Malignant melanoma of eyelid, including canthus",434590,Malignant melanoma of skin of eyelid
1774,Malignant melanoma of ear and external auricular canal,4095589,Malignant melanoma of ear and/or external auditory canal
1775,Malignant melanoma of other and unspecified parts of face,133713,Malignant melanoma of skin of face
1776,Malignant melanoma of scalp and neck,4095592,Malignant melanoma of scalp and/or neck
1777,Malignant melanoma of trunk,4153890,Malignant melanoma of trunk
1778,Malignant melanoma of skin of breast,4153890,Malignant melanoma of trunk
1779,"Malignant melanoma of upper limb, including shoulder",438983,Malignant melanoma of skin of upper limb
1780,"Malignant melanoma of lower limb, including hip",139757,Malignant melanoma of skin of lower limb
1781,Overlapping malignant melanoma of skin,133419,Overlapping malignant melanoma of skin
1782,"Malignant melanoma of skin, unspecified",141232,Malignant melanoma of skin
1783,Melanoma (malignant) NOS,141232,Malignant melanoma of skin
1784,Lentigo maligna melanoma of skin,141232,Malignant melanoma of skin
1785,Malignant acral lentiginous melanoma of skin,141232,Malignant melanoma of skin
1786,Nodular melanoma of skin,141232,Malignant melanoma of skin
1787,Malignant melanoma of Overlapping malignant melanoma of skin,133419,Overlapping malignant melanoma of skin
1788,Other malignant neoplasms of skin,4155297,Malignant neoplasm of skin
1789,Malignant neoplasm of skin of lip,4298740,Basal cell carcinoma of skin of lip
1790,Basal cell carcinoma of lip,4298740,Basal cell carcinoma of skin of lip
1791,"Other malignant neoplasm of skin of eyelid, including canthus",435755,Primary malignant neoplasm of skin of eyelid
1792,Other malignant neoplasm of skin of ear and external auricular canal,136916,Primary malignant neoplasm of skin of external auditory canal
1793,Other malignant neoplasm of skin of other and unspecified parts of face,4179095,Malignant tumor of face
1794,Other malignant neoplasm of skin of scalp and neck,4092382,Malignant neoplasm of scalp and/or skin of neck
1795,Other malignant neoplasm of skin of trunk,133147,Primary malignant neoplasm of skin of trunk
1796,Other malignant neoplasm of perianal skin,133147,Primary malignant neoplasm of skin of trunk
1797,Other malignant neoplasm of skin of breast,133147,Primary malignant neoplasm of skin of trunk
1798,"Other malignant neoplasm of skin of upper limb, including shoulder",4162994,Malignant neoplasm of skin of upper limb
1799,"Other malignant neoplasm of skin of lower limb, including hip",133150,Malignant neoplasm of skin of lower limb and hip
1800,Other malignant neoplasm of overlapping lesion of skin,133974,Overlapping malignant neoplasm of skin
1801,Other malignant neoplasm of skin,4155297,Malignant neoplasm of skin
1802,"Soft tissue sarcoma of skin, NOS",4155297,Malignant neoplasm of skin
1803,Basal cell carcinoma of skin,4155297,Malignant neoplasm of skin
1804,Nodular basal cell carcinoma of skin,4155297,Malignant neoplasm of skin
1805,Fibroepithelial basal cell carcinoma of skin,4155297,Malignant neoplasm of skin
1806,Pigmented basal cell carcinoma of skin,4155297,Malignant neoplasm of skin
1807,Basosquamous carcinoma of skin,4155297,Malignant neoplasm of skin
1808,"Malignant neoplasm of Skin of eyelid, including canthus",435755,Primary malignant neoplasm of skin of eyelid
1809,Malignant neoplasm of Skin of ear and external auricular canal,136916,Primary malignant neoplasm of skin of external auditory canal
1810,Malignant neoplasm of Skin of other and unspecified parts of face,4179095,Malignant tumor of face
1811,Malignant neoplasm of Skin of scalp and neck,4092382,Malignant neoplasm of scalp and/or skin of neck
1812,Malignant neoplasm of Skin of trunk,133147,Primary malignant neoplasm of skin of trunk
1813,"Malignant neoplasm of Skin of upper limb, including shoulder",4162994,Malignant neoplasm of skin of upper limb
1814,"Malignant neoplasm of Skin of lower limb, including hip",133150,Malignant neoplasm of skin of lower limb and hip
1815,Malignant neoplasm of Overlapping lesion of skin,133974,Overlapping malignant neoplasm of skin
1816,"Malignant neoplasm of skin, unspecified",4155297,Malignant neoplasm of skin
1817,Mesothelioma,4268158,"Mesothelioma, malignant"
1818,Mesothelioma of pleura,4111917,Malignant mesothelioma of pleura
1819,Mesothelioma of peritoneum,4001666,Mesothelioma of peritoneum
1820,Mesothelioma of mesentery,4001666,Mesothelioma of peritoneum
1821,Mesothelioma of peritoneum (parietal)(pelvic),4001666,Mesothelioma of peritoneum
1822,"Mesothelioma, unspecified",4268158,"Mesothelioma, malignant"
1823,Mesothelioma of pericardium,4032870,Malignant mesothelioma of pericardium
1824,Kaposi`s sarcoma,434584,Kaposi's sarcoma
1825,Kaposi's sarcoma of skin,258981,Kaposi's sarcoma of skin
1826,Kaposi's sarcoma of soft tissue,375479,Kaposi's sarcoma of soft tissue
1827,Kaposi's sarcoma of other sites,434584,Kaposi's sarcoma
1828,Kaposi's sarcoma of lung,434584,Kaposi's sarcoma
1829,"Kaposi's sarcoma, unspecified",434584,Kaposi's sarcoma
1830,Kaposi`s sarcoma of skin,258981,Kaposi's sarcoma of skin
1831,Kaposi`s sarcoma of soft tissue,375479,Kaposi's sarcoma of soft tissue
1832,Kaposi`s sarcoma of palate,140958,Kaposi's sarcoma of palate
1833,Kaposi`s sarcoma of other sites,434584,Kaposi's sarcoma
1834,Kaposi`s sarcoma of multiple organs,4033893,Kaposi's sarcoma of multiple organs
1835,"Kaposi`s sarcoma, unspecified",434584,Kaposi's sarcoma
1836,Malignant neoplasm of peripheral nerves and autonomic nervous system,4094260,Malignant neoplasm of peripheral nerves and autonomic nervous system
1837,"Malignant neoplasm of peripheral nerves of head, face and neck",4095892,"Malignant neoplasm of peripheral nerves of head, face and neck"
1838,"Malignant neoplasm of Peripheral nerves of upper limb, including shoulder",4094261,"Malignant neoplasm of peripheral nerves of upper limb, including shoulder"
1839,"Malignant neoplasm of peripheral nerves of lower limb, including hip",4097283,"Malignant neoplasm of peripheral nerves of lower limb, including hip"
1840,Malignant neoplasm of peripheral nerves of thorax,4094262,Malignant neoplasm of peripheral nerve of thorax
1841,Malignant neoplasm of peripheral nerves of abdomen,4091621,Malignant neoplasm of peripheral nerve of abdomen
1842,Malignant neoplasm of Peripheral nerves of pelvis,4097284,Malignant neoplasm of peripheral nerve of pelvis
1843,"Malignant neoplasm of peripheral nerves of trunk, unspecified",197808,Primary malignant neoplasm of soft tissues of trunk
1844,"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified",4094260,Malignant neoplasm of peripheral nerves and autonomic nervous system
1845,Malignant neoplasm of retroperitoneum and peritoneum,4089665,Malignant tumor of peritoneum and retroperitoneum
1846,Malignant neoplasm of Retroperitoneum,4180794,Malignant retroperitoneal tumor
1847,Malignant neoplasm of Specified parts of peritoneum,4092077,Malignant neoplasm of specified parts of peritoneum
1848,Malignant neoplasm of mesentery,4092077,Malignant neoplasm of specified parts of peritoneum
1849,Malignant neoplasm of mesocolon,4092077,Malignant neoplasm of specified parts of peritoneum
1850,Malignant neoplasm of omentum,4092077,Malignant neoplasm of specified parts of peritoneum
1851,Malignant neoplasm of peritoneum parietal,4092077,Malignant neoplasm of specified parts of peritoneum
1852,Malignant neoplasm of retroperitoneum and peritoneum,443400,Malignant tumor of peritoneum
1853,Malignant neoplasm of overlapping lesion of retroperitoneum and peritoneum,4095438,Overlapping malignant lesion of retroperitoneum and peritoneum
1854,"Malignant neoplasm of Peritoneum, unspecified",443400,Malignant tumor of peritoneum
1855,Malignant neoplasm of other connective and soft tissue,376647,Primary malignant neoplasm of soft tissues
1856,"Malignant neoplasm of connective and soft tissue of head, face and neck",439294,"Malignant neoplasm of head, neck and face"
1857,Malignant neoplasm of connective tissue of ear,439294,"Malignant neoplasm of head, neck and face"
1858,Malignant neoplasm of connective tissue of eyelid,439294,"Malignant neoplasm of head, neck and face"
1859,"Malignant neoplasm of Connective and soft tissue of upper limb, including shoulder",436357,Primary malignant neoplasm of soft tissues of upper limb
1860,"Malignant neoplasm of connective and soft tissue of lower limb, including hip",438094,Primary malignant neoplasm of soft tissues of lower limb
1861,Malignant neoplasm of connective and soft tissue of thorax,4092358,Malignant neoplasm of connective and soft tissue of thorax
1862,Malignant neoplasm of connective and soft tissue of axilla,4092358,Malignant neoplasm of connective and soft tissue of thorax
1863,Malignant neoplasm of muscle of axilla,4092358,Malignant neoplasm of connective and soft tissue of thorax
1864,Malignant neoplasm of Connective and soft tissue of abdomen,4095018,Malignant neoplasm of connective and soft tissue of abdomen
1865,Malignant neoplasm of connective and soft tissue of abdominal wall,4095018,Malignant neoplasm of connective and soft tissue of abdomen
1866,Malignant neoplasm of connective and soft tissue of pelvis,201231,Malignant neoplasm of connective and soft tissue of pelvis
1867,Malignant neoplasm of connective and soft tissue of buttock,201231,Malignant neoplasm of connective and soft tissue of pelvis
1868,Malignant neoplasm of connective and soft tissue of groin,201231,Malignant neoplasm of connective and soft tissue of pelvis
1869,"Malignant neoplasm of connective and soft tissue of trunk, unspecified",197808,Primary malignant neoplasm of soft tissues of trunk
1870,Malignant neoplasm of connective and soft tissue of back NOS,197808,Primary malignant neoplasm of soft tissues of trunk
1871,Malignant neoplasm of overlapping lesion of connective and soft tissue,378081,Overlapping malignant neoplasm of soft tissues
1872,Malignant neoplasm of connective and soft tissue whose point of origin cannot be classified to any one of the categories C47-C49.6,378081,Overlapping malignant neoplasm of soft tissues
1873,Rhabdomyosarcoma of connective and soft tissue,376647,Primary malignant neoplasm of soft tissues
1874,"Soft tissue sarcoma of connective and soft tissue, unspecified",376647,Primary malignant neoplasm of soft tissues
1875,"Malignant neoplasm of Connective and soft tissue, unspecified",376647,Primary malignant neoplasm of soft tissues
1876,Malignant neoplasm of breast,4162253,Primary malignant neoplasm of breast
1877,Malignant neoplasm of nipple and areola,81251,Neoplasm of breast
1878,"Malignant neoplasm of nipple and areola, right",81251,Neoplasm of breast
1879,"Paget's disease of breast, right",81251,Neoplasm of breast
1880,"Malignant neoplasm of nipple and areola, left",81251,Neoplasm of breast
1881,"Paget's disease of breast, left",81251,Neoplasm of breast
1882,"Malignant neoplasm of nipple and areola, unspecified side",81251,Neoplasm of breast
1883,"Paget's disease of breast, unspecified side",81251,Neoplasm of breast
1884,Paget's disease of breast,81251,Neoplasm of breast
1885,Malignant neoplasm of central portion of breast,432845,Primary malignant neoplasm of central portion of female breast
1886,"Malignant neoplasm of central portion of breast, right",432845,Primary malignant neoplasm of central portion of female breast
1887,"Malignant neoplasm of central portion of breast, left",432845,Primary malignant neoplasm of central portion of female breast
1888,"Malignant neoplasm of central portion of breast, unspecified side",432845,Primary malignant neoplasm of central portion of female breast
1889,Malignant neoplasm of upper inner quadrant of breast,4158563,Primary malignant neoplasm of breast upper inner quadrant
1890,"Malignant neoplasm of upper-inner quadrant of breast, right",4158563,Primary malignant neoplasm of breast upper inner quadrant
1891,"Malignant neoplasm of upper-inner quadrant of breast, left",4158563,Primary malignant neoplasm of breast upper inner quadrant
1892,"Malignant neoplasm of upper-inner quadrant of breast, unspecified side",4158563,Primary malignant neoplasm of breast upper inner quadrant
1893,Malignant neoplasm of lower inner quadrant of breast,4188544,Malignant neoplasm of breast lower inner quadrant
1894,"Malignant neoplasm of lower-inner quadrant of breast, right",4188544,Malignant neoplasm of breast lower inner quadrant
1895,"Malignant neoplasm of lower-inner quadrant of breast, left",4188544,Malignant neoplasm of breast lower inner quadrant
1896,"Malignant neoplasm of lower-inner quadrant of breast, unspecified side",4188544,Malignant neoplasm of breast lower inner quadrant
1897,Malignant neoplasm of upper outer quadrant of breast,4187850,Primary malignant neoplasm of breast upper outer quadrant
1898,"Malignant neoplasm of upper-outer quadrant of breast, right",4187850,Primary malignant neoplasm of breast upper outer quadrant
1899,"Malignant neoplasm of upper-outer quadrant of breast, left",4187850,Primary malignant neoplasm of breast upper outer quadrant
1900,"Malignant neoplasm of upper-outer quadrant of breast, unspecified side",4187850,Primary malignant neoplasm of breast upper outer quadrant
1901,Malignant neoplasm of lower outer quadrant of breast,4188545,Primary malignant neoplasm of breast lower outer quadrant
1902,"Malignant neoplasm of lower-outer quadrant of breast, right",4188545,Primary malignant neoplasm of breast lower outer quadrant
1903,"Malignant neoplasm of lower-outer quadrant of breast, left",4188545,Primary malignant neoplasm of breast lower outer quadrant
1904,"Malignant neoplasm of lower-outer quadrant of breast, unspecified side",4188545,Primary malignant neoplasm of breast lower outer quadrant
1905,Malignant neoplasm of axillary tail of breast,4155292,Malignant neoplasm of axillary tail of breast
1906,"Malignant neoplasm of axillary tail of breast, right",4155292,Malignant neoplasm of axillary tail of breast
1907,"Malignant neoplasm of axillary tail of breast, left",4155292,Malignant neoplasm of axillary tail of breast
1908,Malignant neoplasm of overlapping lesion of breast,137809,Primary malignant neoplasm of female breast
1909,"Malignant neoplasm of overlapping lesion of breast, unspecified side",137809,Primary malignant neoplasm of female breast
1910,Primary malignant neoplasm of breast,4162253,Primary malignant neoplasm of breast
1911,"Malignant neoplasm of breast unspecified, right",4162253,Primary malignant neoplasm of breast
1912,"Ductal carcinoma of breast, right",4162253,Primary malignant neoplasm of breast
1913,"Malignant phyllodes tumor of breast, right",4162253,Primary malignant neoplasm of breast
1914,"Malignant neoplasm of breast unspecified, left",4162253,Primary malignant neoplasm of breast
1915,"Ductal carcinoma of breast, left",4162253,Primary malignant neoplasm of breast
1916,"Malignant phyllodes tumor of breast, left",4162253,Primary malignant neoplasm of breast
1917,"Malignant neoplasm of breast unspecified, unspecified side",4162253,Primary malignant neoplasm of breast
1918,"Ductal carcinoma of breast, unspecified side",4162253,Primary malignant neoplasm of breast
1919,"Malignant phyllodes tumor of breast, unspecified side",4162253,Primary malignant neoplasm of breast
1920,Ductal carcinoma of breast,4162253,Primary malignant neoplasm of breast
1921,Malignant phyllodes tumor of breast,4162253,Primary malignant neoplasm of breast
1922,Nipple and areola,81251,Neoplasm of breast
1923,Central portion of breast,432845,Primary malignant neoplasm of central portion of female breast
1924,Upper-inner quadrant of breast,4158563,Primary malignant neoplasm of breast upper inner quadrant
1925,Lower-inner quadrant of breast,4188544,Malignant neoplasm of breast lower inner quadrant
1926,Upper-outer quadrant of breast,4187850,Primary malignant neoplasm of breast upper outer quadrant
1927,Lower-outer quadrant of breast,4188545,Primary malignant neoplasm of breast lower outer quadrant
1928,Axillary tail of breast,4155292,Malignant neoplasm of axillary tail of breast
1929,"Malignant neoplasm of axillary tail of breast, unspecified side",4155292,Malignant neoplasm of axillary tail of breast
1930,Overlapping lesion of breast,137809,Primary malignant neoplasm of female breast
1931,"Malignant neoplasm of overlapping lesion of breast, right",137809,Primary malignant neoplasm of female breast
1932,"Malignant neoplasm of overlapping lesion of breast, left",137809,Primary malignant neoplasm of female breast
1933,"Breast, unspecified",4162253,Primary malignant neoplasm of breast
1934,Malignant neoplasm of vulva,4178959,Malignant tumor of vulva
1935,Malignant neoplasm of labium majus,4178970,Malignant neoplasm of labia majora
1936,Malignant neoplasm of labium minus,4181352,Malignant neoplasm of labia minora
1937,Malignant neoplasm of clitoris,4155168,Malignant neoplasm of clitoris
1938,Malignant neoplasm of overlapping lesion of vulva,4003029,Overlapping malignant neoplasm of vulva
1939,"Malignant neoplasm of vulva, unspecified",4178959,Malignant tumor of vulva
1940,Malignant neoplasm of external female genitalia NOS,4178959,Malignant tumor of vulva
1941,Labium majus,4178970,Malignant neoplasm of labia majora
1942,Labium minus,4181352,Malignant neoplasm of labia minora
1943,"Vulva, unspecified",4178959,Malignant tumor of vulva
1944,Malignant neoplasm of vagina,4177114,Malignant tumor of vagina
1945,Malignant neoplasm of cervix uteri,198984,Malignant tumor of cervix
1946,Malignant neoplasm of Endocervix,4157449,Malignant neoplasm of endocervix
1947,Malignant neoplasm of exocervix,4162876,Malignant neoplasm of exocervix
1948,Malignant neoplasm of overlapping lesion of cervix uteri,4092515,"Malignant neoplasm, overlapping lesion of cervix uteri"
1949,"Malignant neoplasm of Cervix uteri, unspecified",198984,Malignant tumor of cervix
1950,Malignant neoplasm of corpus uteri,4156113,Malignant neoplasm of body of uterus
1951,Malignant neoplasm of lower uterine segment,4092519,Malignant neoplasm of isthmus of uterine body
1952,Malignant neoplasm of endometrium,194286,"Malignant neoplasm of corpus uteri, excluding isthmus"
1953,Malignant neoplasm of Myometrium,4091474,Malignant neoplasm of myometrium of corpus uteri
1954,Malignant neoplasm of fundus uteri,4095748,Malignant neoplasm of fundus of corpus uteri
1955,Malignant neoplasm of overlapping lesion of corpus uteri,4092520,Malignant neoplasm of overlapping lesion of corpus uteri
